Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,AcadOrg,Instructor,Capacity,Room,MtgStart,MtgEnd,Days,StartDate,EndDate,Term,Campus,ClassNbr,TotalCredits,DUP,FULL,OVER
BIO,101,01HL,LAB,8W1,0,0,5,24,STEM,"Staff,Tba",24,435,8:00:00 AM,10:50:00 AM,MW,5/23/2022,7/18/2022,2223,MAIN,35540,0,,,
BIO,101,01W,LEC,8W1,4,4,5,24,STEM,"Staff,Tba",24,304,11:00:00 AM,1:50:00 PM,MW,5/23/2022,7/18/2022,2223,HT,35253,20,#REF!,,
BIO,101,01WL,LAB,8W1,0,0,5,24,STEM,"Staff,Tba",32,329,8:00:00 AM,10:50:00 AM,MW,5/23/2022,7/18/2022,2223,HT,35254,0,,,
BIO,101,50H,LEC,8W1,4,4,2,24,STEM,"Staff,Tba",44,426,4:00:00 PM,6:50:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35248,8,,,
BIO,101,50HL,LAB,8W1,0,0,2,24,STEM,"Staff,Tba",24,435,7:00:00 PM,9:40:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35249,0,,,
BIO,102,20H,LEC,8W1,4,4,5,24,STEM,"Staff,Tba",44,426,11:00:00 AM,1:50:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35291,20,,,
BIO,102,20HL,LAB,8W1,0,0,5,24,STEM,"Staff,Tba",24,434,2:00:00 PM,4:50:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35292,0,,,
BIO,141,20H,LEC,5W1,4,4,0,24,STEM,"Staff,Tba",28,429,11:00:00 AM,1:50:00 PM,TWR,5/16/2022,6/18/2022,2223,MAIN,35492,0,,,
BIO,141,20HL,LAB,5W1,0,0,0,24,STEM,"Staff,Tba",24,405,8:00:00 AM,10:50:00 AM,TWR,5/16/2022,6/18/2022,2223,MAIN,35493,0,,,
BIO,141,21HL,LAB,8W1,0,0,5,24,STEM,"Staff,Tba",24,434,8:00:00 AM,10:50:00 AM,TR,5/23/2022,7/18/2022,2223,MAIN,35439,0,,,
BIO,141,50H,LEC,8W1,4,4,3,24,STEM,"Staff,Tba",48,421,4:00:00 PM,6:50:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35294,12,,,
BIO,141,50HL,LAB,8W1,0,0,3,24,STEM,"Staff,Tba",24,405,7:00:00 PM,9:40:00 PM,TR,5/23/2022,7/18/2022,2223,MAIN,35295,0,,,
BIO,142,01H,LEC,8W1,4,4,2,24,STEM,"Staff,Tba",44,426,11:00:00 AM,1:50:00 PM,MW,5/23/2022,7/18/2022,2223,MAIN,35496,8,,,
BIO,142,01HL,LAB,8W1,0,0,2,24,STEM,"Staff,Tba",24,434,8:00:00 AM,10:50:00 AM,MW,5/23/2022,7/18/2022,2223,MAIN,35497,0,,,
CHM,111,D03,DED,5W2,4,4,0,29,STEM,"Staff,Tba",30,TUAL, , , ,6/21/2022,7/25/2022,2223,MAIN,41678,0,,,
CHM,111,D03L,LAB,5W2,0,0,0,29,STEM,"Staff,Tba",30,TUAL, , , ,6/21/2022,7/25/2022,2223,MAIN,41679,0,,,
ITE,119,D02,DED,8W1,3,3,0,0,STEM,"Staff,Tba",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35240,0,,FULL,
ITE,119,D03,DED,8W1,3,3,0,0,STEM,"Staff,Tba",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35252,0,,FULL,
MDE,60,40H,LEC,8W1,3,3,0,0,STEM,"Staff,Tba",24,309,5:30:00 PM,8:15:00 PM,MW,5/23/2022,7/18/2022,2223,MAIN,38636,0,,FULL,
MDE,10,D01,DED,8W1,3,3,12,18,STEM,"Struble,Elizabeth Marie",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,38635,36,,,
MDE,60,D01,DED,8W1,3,3,7,18,STEM,"Struble,Elizabeth Marie",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,38638,21,,,
MTH,130,D01,DED,8W1,3,3,19,28,STEM,"Struble,Elizabeth Marie",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35548,57,,,
ITE,119,D04,DED,5W2,3,3,3,24,STEM,"Susalis,Christopher R",30,TUAL, , , ,6/21/2022,7/25/2022,2223,MAIN,35523,9,,,
MTH,245,D02,DED,8W1,3,3,11,28,STEM,"Tessier,Paul Edward",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35453,33,,,
MTH,245,D04,DED,8W1,3,3,0,28,STEM,"Tessier,Paul Edward",30,TUAL, , , ,5/23/2022,7/18/2022,2223,MAIN,35488,0,,,
